what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335494585816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335494614938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335494615104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335494615265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335494615873
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1335494619183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494619208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494620670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494629513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494637104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335494664154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494668754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494671421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494673341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494679728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1335494748728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494775723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494775873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1335494793880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335494795927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335494796847
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1335494813136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494813161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494813945
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1335494815110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335494820697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494826793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494995716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335494999738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335495005371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335495037360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335495040749
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1335495069269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335495069301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335495070184
